GENERICO,FORMA_FARMACEUTICA,CONTENIDO,DESCRIPCION_ENVASE
CLINDAMICINA,CAPSULA,CADA CAPSULA CONTIENE: CLORHIDRATO DE CLINDAMICINA EQUIVALENTE A 300 MG DE CLINDAMICINA,16 CAPSULAS
CLIOQUINOL,CREMA,CADA G CONTIENE: CLIOQUINOL 30 MG,20 G
CLONAZEPAM,TABLETA,CADA TABLETA CONTIENE: CLONAZEPAM 2 MG,30 TABLETAS
CLONAZEPAM,SOLUCION,CADA ML CONTIENE: CLONAZEPAM 2.5 MG,10 ML Y GOTERO INTEGRAL
CLORANFENICOL,SOLUCION OFTALMICA,CADA ML CONTIENE: CLORANFENICOL LEVOGIRO 5 MG,GOTERO INTEGRAL CON 15 ML
CLORANFENICOL,UNGÜENTO OFTALMICO,CADA G CONTIENE: CLORANFENICOL LEVOGIRO 5 MG,5 G
CLORFENAMINA,TABLETA,CADA TABLETA CONTIENE: MALEATO DE CLORFENAMINA 4.0 MG,20 TABLETAS
CLORFENAMINA,JARABE,CADA MILILITRO CONTIENE: MALEATO DE CLORFENAMINA 0.5 MG,60 ML
CLORFENAMINA COMPUESTA,TABLETA,"CADA TABLETA CONTIENE PARACETAMOL 500 MG, CAFEINA 25 MG, CLORHIDRATO DE FENILEFRINA 5 MG, MALEATO DE CLORFENAMINA 4 MG",10 TABLETAS
CLORTALIDONA,TABLETA,CADA TABLETA CONTIENE: CLORTALIDONA 50 MG,20 TABLETAS
CLORURO DE SODIO,SOLUCION INYECTABLE,CADA 100 ML CONTIENEN: CLORURO DE SODIO 0.9 G AGUA INYECTABLE 100 ML,250 ML. CONTIENE: SODIO 38.5 MILIEQUIVALENTES CLORURO 38.5 MILIEQUIVALENTES
CLORURO DE SODIO,SOLUCION INYECTABLE,CADA 100 ML CONTIENEN: CLORURO DE SODIO 0.9 G AGUA INYECTABLE 100 ML,500 ML. CONTIENE: SODIO 77 MILIEQUIVALENTES. CLORURO 77 MILIEQUIVALENTES
CLORURO DE SODIO,SOLUCION INYECTABLE,CADA 100 ML CONTIENEN: CLORURO DE SODIO 0.9 G AGUA INYECTABLE 100 ML,1 000 ML. CONTIENE: SODIO 154 MILIEQUIVALENTES CLORURO 154 MILIEQUIVALENTES
